LM Description,Part#,LM Revision,Qty Per Car,U/M,L/T Wks,Make,System Group,ABC by System,ABC % by System,ABC  by Part,ABC Running $'s by Part,%total $ by part,LM/Prep,Supplier #1,Description Supplier #1,P/N Supp#1,U/M,MOQ #1,Supplier #2,Description Supplier #2,P/N Supp#2,MOQ #2,L/T#2,Supplier #3,Description Supplier #3,P/N Supp#3,MOQ #3,Specifications,Weight (lbs.),X weight
"2.5"" Y Connector",49592-VUI,A,2.00,Ea,2.0,,AC,,,,,,,Vintage Air,"2.5"" Y Connector",49592-VUI,EA,4,,,,,,,,,,,,
"WATER VALVE, PULL OPEN (H404)",54-553,A,1.00,EA,3.0,,AC,,,,,,,www.millsupply.com,"WATER VALVE, PULL OPEN (H404)",54-553,EA,12,,,,,,,,,,,,
"81"" CABLE W/GEAR CONTROL ",54-059,A,1.00,EA,3.0,,AC,,,,,,,www.millsupply.com,"81"" CABLE W/GEAR CONTROL ",54-059,EA,1,,,,,,,,,,,,
"Front roof strap, Clear Anodized",RFN-5052-035,A,1.00,EA,,,Body,A,7%,B,"$64,202",100%,,Advanced Metal Fabrication,"Front roof strap, Clear Anodized",RFN-5052-035,EA,30,,,,,,,,,,"1/8"" Aluminum 5052 Sheet(1.746lb/sqft), Type II Clear Anodized",N/A,
"Bumper strap w/Logo, Clear Anodized",RFN-5052-011,A,1.00,EA,,,Body,A,7%,B,"$64,202",100%,,Advanced Metal Fabrication,"Bumper strap w/Logo, Clear Anodized",RFN-5052-011,EA,30,,,,,,,,,,"1/8"" Aluminum 5052 Sheet(1.746lb/sqft), Type II Clear Anodized",N/A,
"Mirror Studs-tapped (tapped 10-24x9/16"" deep)",RFN-MirrorStudTapped,A,6.00,EA,,mfg,Body,,,,,,,AZ Part Source,"Mirror Studs- (remove from mirror & have tapped 10-24x9/16"" deep)",RFN-MirrorStudTapped,EA,40,,,,,,,,,,,,
"Trim Guard 7/8""   L-Style",NE202200,A,10,FT,4.0,,Body,,,,,,,Beaverstrips.com,"7/8"" x 50' L-Style Black Door Edge Molding/Guard",NE202200,FT,200,Amazon,"7/8"" x 50' L-Style Black Door Edge Molding/Guard",261032699558,50,2,,,,,,,
LH Side Vent,RFN-6061-091,A,1.00,EA,8.0,,Body,A,20%,B,"$53,596",83%,,Bill Kibler,"Side Vent Tube, Left",LCLM-0002,EA,25,,,,,,,,,,,,
RH Side Vent,RFN-6061-092,A,1.00,EA,8.0,,Body,A,20%,B,"$53,699",84%,,Bill Kibler,"Side Vent Tube, Right",LCLM-0003,EA,25,,,,,,,,,,,,
Sangho Badge,RFN-5052-086,A,2.00,EA,8.0,,Body,A,20%,A,"$46,022",72%,,Bill Kibler,LM Sangho Badges w/type II clear anodize and 10-24 studs,Sanho-Badge,EA,50,,,,,,,,,,,,
LH '09 Dodge Challenger Silver Side Mirror,1GD73WS2AD,A,1.00,EA,,Dodge,Body,A,20%,A,"$49,846",78%,prep,Chapman Dodge,Mirror Outs,1GD73WS2AD,,1,,,,,,,,,,,2.05,
RH '09 Dodge Challenger Silver Side Mirror,1GD72WS2AD,A,1.00,EA,,Dodge,Body,A,20%,A,"$50,002",78%,prep,Chapman Dodge,Mirror Outs,1GD72WS2AD,,1,,,,,,,,,,,2.05,
Fuel Door,AEC00YDX03,A,1.00,EA,,Mitsubishi,Body,A,20%,B,"$56,548",88%,prep,Chapman Mistubishi,"2000-2005 Mitsubishi Eclipse Fuel Door, Genuine Mitsubishi Part",AEC00YDX03,,,,,,,,,,,,,0.80,
LH Mirror Spacer,RF-LH-MirrorSpacer,A,1.00,EA,,,Body,,,,,,,Coplin Mfg,RF-LH-MirrorSpacer,,EA,,,,,,,,,,,,,
RH Mirror Spacer,RF-RH-MirrorSpacer,A,1.00,EA,,,Body,,,,,,,Coplin Mfg,RF-RH-MirrorSpacer,,EA,,,,,,,,,,,,,
Body Insert behind Drivers Door window,RF-LH-RearofWindow-Insert,A,1.00,EA,4.0,Don Horn,Body,,,,,,,Don Horn ,Body Insert behind Drivers Door window,RF-LH-RearofWindow-Insert,,7,,,,,,,,,,,,
