LM Description,Part#,LM Revision,Qty Per Car,U/M,L/T Wks,Make,System Group,ABC by System,ABC % by System,ABC  by Part,ABC Running $'s by Part,%total $ by part,LM/Prep,Supplier #1,Description Supplier #1,P/N Supp#1,U/M,MOQ #1,Supplier #2,Description Supplier #2,P/N Supp#2,MOQ #2,L/T#2,Supplier #3,Description Supplier #3,P/N Supp#3,MOQ #3,Specifications,Weight (lbs.),X weight
U-Seal  (Headliner to Body Edge),SD-1205-G,A,33.00,FT,8.0,Uni-Grip,Body,,,,,,,"Uni-grip, Inc",U-Seal,SD-1205-G,FT,1000,,,,,,,,,,,,
"UHB Tape, 1/2"" wide  (3M Tape) ",S-11931,A,8.00,FT,3.0,,Body,A,20%,,"$64,202",100%,,www.LaVanture.com,"48.41 per roll.  18 per case;  Tape 5952 1/2""  x 36 yd  45 mil  3M",,,180,Itapestore.com,"3M 5952 VHB Double-Sided Foam Tape - 1/2""x36yrds",http://www.itapestore.com/5952-18rolls12x36ydsvhbfoamtape.aspx,,,Uline.com,,,,,,
"Bolt, (front caliper to upright)",W710862-S439,,4.00,EA,4.0,Ford,Brakes,B,2%,C,"$62,239",97%,,Chapman Ford,Bolt,W710862-S439,EA,,,,,,,,,,,,0.14,
"Bolt, M8x1.25(rear axle brake line mounting)",W505263-S426,A,2.00,EA,4.0,Ford,Brakes,B,2%,C,"$63,797",99%,,Chapman Ford,Scew,W505263-S426,EA,1,,,,,,,,,,,0.03,
Brake Switch Pin,380699-S424,A,1.00,EA,4.0,Ford,Brakes,B,2%,C,"$64,028",100%,,Chapman Ford,Pin,380699-S424,EA,,,,,,,,,,,,0.01,
"Nut, M8x1.25, (booster to pedalbox)",N620481-S436,A,4.00,EA,4.0,Ford,Brakes,B,2%,C,"$63,696",99%,,Chapman Ford,Nut-Adjust,N620481-S436,EA,,,,,,,,,,,,0.01,
"Nut, M8x1.25, (master cylinder to booster)",W520112-S440-A,A,2.00,EA,4.0,Ford,Brakes,B,2%,C,"$63,946",100%,,Chapman Ford,Nut-Hex.,W520112-S440-A,EA,,,,,,,,,,,,0.01,
"Vacuum Line Fitting, Plastic",7L3Z-9C490-A,A,1.00,EA,4.0,Ford,Brakes,B,2%,C,"$61,063",95%,,Chapman Ford,Manifold,7L3Z-9C490-A,EA,,,,,,,,,,,,0.38,
Banjo Bolt (Chevy),5155,A,2.00,EA,,FMSI,Brakes,,,,,,,FMSI Automotive Hardware,Banjo Bolt (Chevy),5155,EA,1,Napa. Mel's Auto,Banjo Bolt (Chevy),5155,,,,,,,,,
3AN  Brake Line Banjo Washer (For front flexi Brake Line connections),3053,01,2.00,EA,,FMSI,Brakes,B,2%,C,"$63,914",100%,,FMSI Automotive Hardware,Brake Line Banjo Washer,3053,EA,1,,,,,,,,,,,,
"3/16"" Brake Line Union",3002,A,1.00,EA,,FMSI,Brakes,B,2%,C,"$64,171",100%,,FMSI Automotive Hardware,"3/16"" Brake Line Union",3002,EA,1,,,,,,,,,,,,
4AN  Brake Line Banjo Washer (For Banjo Bolts Chevy) (Rear Calipers come w/ typically),3055,01,2.00,EA,,FMSI,Brakes,B,2%,C,"$63,914",100%,,FMSI Automotive Hardware,Brake Line Banjo Washer,3055,EA,1,,,,,,,,,,,,
"Brake Banjo Bolt, (front / Ford)",22453,A,2.00,EA,,FMSI,Brakes,B,2%,C,"$63,531",99%,,FMSI Automotive Hardware,"Brake Banjo Bolt, (front / Ford)",22453,EA,1,,,,,,,,,,,,
"Brake Line 3/16"" Tee w/bracket",3476,A,2.00,EA,,FMSI,Brakes,B,2%,C,"$63,765",99%,,FMSI Automotive Hardware,"Brake Line 3/16"" Tee w/bracket",3476,EA,1,,,,,,,,,,,,
LH Front Brake Caliper Slider,7L3Z-2B292-A,A,1.00,EA,13.8,Ford,Brakes,B,2%,B,"$57,448",89%,,Ford Component Sales,Bracket,7L3Z-2B292-A,EA,1,Chapman Ford,,,,,,,,,,4.65,
RH Front Brake Caliper Slider,7L3Z-2B293-A,A,1.00,EA,11.4,Ford,Brakes,B,2%,B,"$57,504",90%,,Ford Component Sales,Bracket,7L3Z-2B293-A,EA,1,Chapman Ford,,,,,,,,,,4.65,
RH Front Caliper,7L3Z-2B120-A,A,1.00,EA,13.8,Ford,Brakes,B,2%,B,"$51,893",81%,,Ford Component Sales,Caliper Asy,7L3Z-2B120-A,EA,1,Chapman Ford,,,,,,,,,,12.90,
LH Front Caliper,7L3Z-2B121-A,A,1.00,EA,13.8,Ford,Brakes,B,2%,B,"$52,018",81%,,Ford Component Sales,Caliper Asy,7L3Z-2B121-A,EA,1,Chapman Ford,,,,,,,,,,12.90,
Front Brake Pads,4U2Z-2V001-CA,A,1.00,Set,6.4,Ford,Brakes,B,2%,B,"$58,243",91%,,Ford Component Sales,Pad,4U2Z-2V001-CA,Set,1,Chapman Ford,,,,,,,,,,5.40,
"LH Rear Axle Brakeline, (short line with flex end)",6L3Z-2268-ML,A,2.00,EA,9.4,Ford,Brakes,B,2%,B,"$58,436",91%,,Ford Component Sales,Tube Asy,6L3Z-2268-ML,EA,50,,,,,,,,,,,0.40,
Brake Pedal Box w/Pedal,7L3Z-2455-B,A,1.00,EA,5.4,Ford,Brakes,B,2%,B,"$54,198",84%,prep,Ford Component Sales,Pedal Asy,7L3Z-2455-B,EA,5,,,,,,,,,,,5.35,
Brake Light Switch,4L3Z-13480-AA,A,1.00,EA,5.6,Ford,Brakes,B,2%,B,"$58,979",92%,,Ford Component Sales,Switch Asy,4L3Z-13480-AA,EA,1,,,,,,,,,,,0.08,
Brake Switch Bushing,C9AZ-2474-A,A,1.00,EA,5.8,Ford,Brakes,B,2%,C,"$63,808",99%,,Ford Component Sales,Bush,C9AZ-2474-A,EA,10000,,,,,,,,,,,0.00,
Brake Switch Pin Retainer,4L3Z-2475-AA,A,1.00,EA,5.6,Ford,Brakes,B,2%,C,"$63,826",99%,,Ford Component Sales,Retainer,4L3Z-2475-AA,EA,1,,,,,,,,,,,0.01,
Brake Booster,8L3Z-2005-B,A,1.00,EA,6.4,Ford,Brakes,B,2%,A,"$46,486",72%,,Ford Component Sales,Booster,8L3Z-2005-B,EA,1,,,,,,,,,,,9.90,
Master Cylinder,7L3Z-2140-A,A,1.00,EA,6.4,Ford,Brakes,B,2%,B,"$52,261",81%,,Ford Component Sales,Cylinder Asy,7L3Z-2140-A,EA,1,,,,,,,,,,,2.20,
Brake Line Fitting Locks,98722,A,1.00,EA,2.0,,Brakes,B,2%,C,"$64,145",100%,,Lawson Products,Brake Line Fitting Locks,98722,EA,,,,,,,,,,,,,
"E-brake cable equilizer bar, Painted Black",RFN0A36-023,A,1.00,EA,,,Brakes,B,2%,MFG,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,"1/16"" Steel A36 HR Sheet(2.553lb/sqft), 2.00""ODx0.0625""wall Round Steel Tube, Painted Black",N/A,
"1/8"" E-BRAKE CABLE LH/RH (CONDUIT "" 1278-1278 CORE 73"" overall Length 5.5"" exposed cable inside nub 5740-5740)",LMRF-EBRAKECABLE-GEN2,A,2.00,EA,5.0,,Brakes,,,,,,,Madison Generator Service,Ebrake cable per spec,LMRF-EBRAKECABLE-GEN2,,6,,,,,,,,,,,,
E-brake Equilizer Cable w/jamnuts(2ea)  (Per Dwg on File),LMRF-EBRAKE-EQUALIZER-CABLE ,A,1.00,EA,5.0,,Brakes,B,2%,C,"$61,184",95%,,Madison Generator Service,E-brake Equilizer Cable w/jamnuts(2ea),LMRF-EBRAKE-EQUALIZER-CABLE ,,6,,,,,,,,,,,,
"Shoulder Bolt, SS, 5/16""x1/2"", (e-brake pivot)",97345A578 ,A,1.00,EA,,,Brakes,B,2%,C,"$63,879",99%,,McMaster-Carr,"316 Stainless Steel Shoulder Screw 5/16"" Shoulder Dia, 1/2""l Shoulder, 1/4""-20 Thread",97345A578,EA,,,,,,,,,,,,,
Rear Brake Pads  (Toss onew with calipers),SS-7070A-M,A,1.00,ea,,Napa,Brakes,,,,,,,Napa,Brake pads,SS-7070A-M,EA,1,,,,,,,,,,,,
GM Front Rotor LH/RH   (Turn rears down to 28.2MM Currently? If  an get correct thinner pads to avoid turn down),25819670,A,4.00,ea,,GM,Brakes,,,A,,,,"Napa, Mel's Auto",Rotor,48880279,,1,,,,,,,,,,,,
Large Master Cylinder Fitting,WH-7974,A,1.00,EA,,Napa,Brakes,B,2%,C,"$63,587",99%,,"Napa, Mel's Auto",Large Master Cylinder Fitting,WH-7974,EA,1,,,,,,,,,,,,
Small Master Cylinder Fitting ,WH-1442,A,1.00,EA,,Napa,Brakes,B,2%,C,"$64,132",100%,,"Napa, Mel's Auto",Small Master Cylinder Fitting ,WH-1442,EA,1,,,,,,,,,,,,
"51"" Brake Line",813-1207,A,1.00,EA,,Napa,Brakes,B,2%,C,"$63,748",99%,,"Napa, Mel's Auto","51"" Brake Line",813-1207,EA,,,,,,,,,,,,,
"60"" Brake Line",813-1208,A,2.00,EA,,Napa,Brakes,B,2%,C,"$63,147",98%,,"Napa, Mel's Auto","60"" Brake Line",813-1208,EA,,,,,,,,,,,,,
"12"" Brake Line",813-1203,A,1.00,EA,,Napa,Brakes,,,,,,,"Napa, Mel's Auto","12"" Brake Line",813-1203,EA,,,,,,,,,,,,,
"40"" Brake Line",813-1206,A,1.00,EA,,Napa,Brakes,,,,,,,"Napa, Mel's Auto","40"" Brake Line",813-1206,EA,,,,,,,,,,,,,
Brake Fluid Valvoline DOT 3 and 4,VAL-601458,A,1.00,EA,,Napa,Brakes,B,2%,C,"$63,265",99%,,"Napa, Mel's Auto",Brake Fluid Valvoline DOT 3 and 4,VAL-601458,,,,,,,,,,,,,,
Front Flexible Brake Line,LMRF-FrontFlex-BrakeLine,A,2.00,EA,4.0,Parker,Brakes,,,,,,,Parker Store Phenix East,Flexible Brake Line ,KBQ303-HF09-HF11-37.500,EA,,Crown Performance,,,,,,,,,,,
Rear Flexible Brake Line,LMRF-RearFlex-Brakeline,A,1.00,EA,4.0,Parker,Brakes,,,,,,,Parker Store Phenix East,,KBQ303-HF09-HF09-58.000,EA,,Crown Performance,,,,,,,,,,,
Female Brake Line Adapter,444005,,4.00,EA,2.0,,Brakes,B,2%,C,"$63,490",99%,,"Precision Assemblies, Inc","3/8""x24-#3 Female Brake Fitting",444005,EA,2,,,,,,,,,,,,
"Brake Line Adapter, Male -3 AN to Male 3/8 in.-24 Thread, Inverted Flare, Steel, Zinc Plated, Pair",581531ERL,A,2.00,EA,2.0,,Brakes,B,2%,C,"$63,873",99%,,"Precision Assemblies, Inc","3/8""x24-#3 Male Brake Fitting",444001E,EA,2,Summit Racing,"3/8""x24-#3 Male Brake Fitting",581531ERL,2,1.0,,,,,,,
Rear Left Caliper w/ Pads (only UTSauto has thin enough pads),18R792,A,1.00,EA,,,Brakes,,,,,,,RockAuto.com,Rear Left Caliper w/ Pads,18R792,EA,1,utsauto.com,Rear Left Caliper w/ Pads,UTS1062 ,100,,,,,,,,
Rear Right Caliper w/ Pads (only UTSauto has thin enough pads),18R791,A,1.00,EA,,,Brakes,,,,,,,RockAuto.com,Rear Right Caliper w/ Pads,18R791,EA,1,utsauto.com,Rear Right Caliper w/ Pads,UTS1063,100,,,,,,,,
E-brake Lever,19-5340-222,A,1.00,EA,16.0,,Brakes,B,2%,B,"$59,936",93%,,Wescon Products Company,"Model 340 Ratcheting Brake Lever w/x-long handle, Red Button,w/o hardware kit, type 2",,,15,,,,,,,,,,,,
Chassis Powder Coating,Service,A,1.00,EA,2.0,?,Chassis,C,1%,A,"$44,262",69%,,Fusion Powder Coating,Coating,,,1,,,,,,,,,,,,
Small Parts Powder Coating,Service,A,1.00,Set,2.0,?,Chassis,C,1%,B,"$51,768",81%,,Fusion Powder Coating,Coating,,,1,,,,,,,,,,,,
"Straight CHASSIS  Part Kit (Cut Chassis parts, cut, & Coped)",,A,1.00,EA,,,Chassis,A,5%,,"$64,202",100%,,Laser Services Group,"Straight CHASSIS  Part Kit (Cut Chassis parts, cut, & Coped)",,EA,15,,,,,,,,,,,,
"Bent Chasis Part Kit  (Cut Chassis parts, cut, bent & rolled & Coped)",,A,1.00,EA,,,Chassis,A,5%,,"$64,202",100%,,Laser Services Group,"Bent Chasis Part Kit  (Cut Chassis parts, cut, bent & rolled & Coped)",,EA,15,,,,,,,,,,,,
"Window Extrusion Bracket, Painted Black",RFN0A36-101,A,2.00,EA,,,Chassis,A,5%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,"1/16"" Steel A36 HR Sheet(2.553lb/sqft), Painted Black",N/A,
Misc  Steel for Production  In House,RF-RawSteel-InHouse,A,1.00,EA,,,Chassis,Local Motors,,,,,,Local Motors,,,,,,,,,,,,,,,,
RF Chassis,RFC-0A36-012,A,1.00,,,,Chassis,,,,,,,Local Motors,,,EA,1,,,,,,,,,,,,
Motor Mount LH  (Powder Coat),RFN-0A36-270,A,1.00,EA,,,Chassis,,,,,,,Local Motors,,,EA,15,,,,,,,,,,,,
Motor Mount RH  (Powder Coat),RFN-0A36-271,A,1.00,EA,,,Chassis,,,,,,,Local Motors,,,EA,15,,,,,,,,,,,,
"Motor Cradle, Powder Coat",RFN-0A36-110,A,4.00,EA,,,Chassis,A,5%,MFG,"$64,202",100%,,Local Motors,,,EA,15,,,,,,,,,,"2""OD x 1.5"" ID steel DOM tube(4.6182lb/ft), Gloss Black Powder Coat",N/A,
Trunk Hinge Mount Bolt on LH,RFN-0A36-320,A,1.00,EA,,,Chassis,A,5%,,"$64,202",100%,,Local Motors,,,EA,15,,,,,,,,,,"1/8"" Steel A36 Hot Rolled Sheet(5.105lb/sqft), Gloss Black Powder Coat",N/A,
Trunk Hinge Mount Bolt on RH,RFN-0A36-321,A,1.00,EA,,,Chassis,A,5%,,"$64,202",100%,,Local Motors,,,EA,15,,,,,,,,,,"1/16"" Steel A36 HR Sheet(2.553lb/sqft), 1/8"" Steel A36 Hot Rolled Sheet(5.105lb/sqft), 0.75""x0.75""-0.49"" wall Square Steel Tube(_lb/ft), Gloss Black Powder Coat",N/A,
"Rear Fender Strut LH, Powder Coat",RFN-0A36-127,A,1.00,EA,,,Chassis,A,5%,,"$64,202",100%,,Local Motors,,,EA,25,,,,,,,,,,"0.5""ODx0.060"" wall Steel Tube Seamed, Gloss Black Powder Coat",N/A,
"Rear Fender Strut RH, Powder Coat",RFN-0A36-128,A,1.00,EA,,,Chassis,A,5%,,"$64,202",100%,,Local Motors,,,EA,25,,,,,,,,,,"0.5""ODx0.060"" wall Steel Tube Seamed, Gloss Black Powder Coat",N/A,
"Quarter panel strut LH Front Upper, Powder Coat",RFN-0A36-124,A,1.00,EA,,,Chassis,A,5%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,"0.5""ODx0.060"" wall Steel Tube Seamed, Gloss Black Powder Coat",N/A,
"Quarter panel strut LH Front Lower, Powder Coat",RFN-0A36-123,A,1.00,EA,,Massy,Chassis,,,,,,,Local Motors,,,EA,,,,,,,,,,,,,
"Quarter panel strut RH Front Upper, Powder Coat",RFN-0A36-126,A,1.00,EA,,Massy,Chassis,,,,,,,Local Motors,,,EA,,,,,,,,,,,,,
"Quarter panel strut RH Front Lower, Powder Coat",RFN-0A36-125,A,1.00,EA,,,Chassis,A,5%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,"0.5""ODx0.060"" wall Steel Tube Seamed, Gloss Black Powder Coat",N/A,
"Door Frame LH, Painted Black",RFN-0A36-218,A,1.00,EA,,,Chassis,A,5%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,"Plastic Polyporpylene Natural Sheet Stress Relieved 0.75"" Cut to 12""x24""",N/A,
"Door Frame RH, Painted Black",RFN-0A36-219,A,1.00,EA,,,Chassis,A,5%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,"1.00""x1.00""-0.79"" wall Square Steel Tube(1lb/ft), 1/16"" Steel A36 HR Sheet(2.553lb/sqft), 3/16"" Steel A36 HR Sheet(7.66lb/sqft), Painted Black",N/A,
"T400 Trans Crossmember, Powder Coat",Tony ?? TBD,A,1.00,Ea,,,Chassis,,,,,,,Local Motors,,,,10,,,,,,,,,,,,
"4l85E Trans Crossmember,  Powder Coat",Tony ?? TBD,A,1.00,Ea,,,Chassis,,,,,,,Local Motors,,,,10,,,,,,,,,,,,
"Accelerator Pedal Bracket, Painted Black",RFN-0A36-003,A,1.00,Ea,,,Chassis,,,,,,,Local Motors,,,EA,,,,,,,,,,,,,
Fabricated Metal Items,PLACE HOLDER,A,1.00,EA,,,Chassis,A,5%,A,"$22,617",35%,,Local Motors,,,,,,,,,,,,,,,,
Door Hinge Arm to Chassis Bracket,RFN-0A36-020,A,4.00,EA,,,Chassis,Local Motors,,,,,,Local Motors,,,,,,,,,,,,,,,,
"Battery Hold Down Strap, Powder Coat",RFN-0A36-006,A,1.00,EA,2.0,,Chassis,A,5%,,"$64,202",100%,,Local Motos,,,,,,,,,,,,,,"1/8"" Steel A36 Hot Rolled Sheet(5.105lb/sqft), Gloss Black Powder Coat",N/A,
Gloss Black Engine Enamel,DC-DE1613,A,0.25,EA,,Napa,Chassis,A,5%,C,"$64,124",100%,,"Napa, Mel's Auto",Gloss Black Engine Enamel,DC-DE1613,,,,,,,,,,,,,,
Ford Semi-gloss Black Engine Enamel,DC-DE1635,A,0.25,EA,,Napa,Chassis,A,5%,C,"$64,126",100%,,"Napa, Mel's Auto",Ford Semi-gloss Black Engine Enamel,DC-DE1635,,,,,,,,,,,,,,
"3"" Steel Sphere, 10 gauge",S300,A,1.00,EA,2.0,,Chassis,A,5%,C,"$62,963",98%,,Sharpe Products,"STEEL 3"" DIA. SPHERE",,EA,10,,,,,,,,,,,,
"Door Hinge Arm, Powder Coat",RFN-0A36-019,A,4.00,Ea,,,Chassis,,,,,,,,,,,,,,,,,,,,,,,
Label Tape,TZe241,A,,EA,,,Consumables,,,,,,,Amazon,,,,,,,,,,,,,,,,
Waterjet Garnet Pallet,HPA80,A,0.25,Pallet,,,Consumables,C,1%,,"$64,202",100%,,Barton Mines Company,,,Pallet,1,,,,,,,,,,,,
Glass installation Service,Bring In House Service,A,1.00,EA,,?,Consumables,C,1%,A,"$50,300",78%,,Canyon State Auto Glass,Glass Install Service,,,1,,,,,,,,,,,,
"Medium Nitrile Gloves, Black",GL-N105FM,A,6.00,EA,,,Consumables,C,1%,,"$64,202",100%,,CCP Industries,,,EA,1000,,,,1000 case,,,,,,,,
"Large Nitrile Gloves, Black",GL-N105FL,A,6.00,EA,,,Consumables,C,1%,,"$64,202",100%,,CCP Industries,,,EA,1000,,,,,,,,,,,,
"Rags, Reclaimed White Rags",7150-50,A,1.00,lb,,,Consumables,C,0%,C,"$64,190",100%,,CCP Industries,"White T-Shirt, Recl, 50# SW",7150-50,lb,,,,,,,,,,,,,
Ford Key Ignition & Key Cut Service (Send Key codes & Keyport blank to Dealer),25382,A,2.00,EA,2.0,Ford,Consumables,C,1%,C,"$63,985",100%,prep,Chapman Ford,Key & Service,25382,EA,,,,,,,,,,,,,
"Plexus MA320, Structural Adhesive",301147,A,0.20,EA,,,Consumables,C,0%,C,"$63,052",98%,,Composites One LLC,"Plexus MA320, Structural Adhesive, 32000W, 10:1 Ratio",301147,EA,2,,,,,,,,,,,,
Plexus Tips,513603,A,3.00,EA,,,Consumables,C,0%,C,"$63,800",99%,,Composites One LLC,Plexus Tips 30075,513603,EA,20,,,,,,,,,,,,
"Simson Prep-G, 30ml       (Facility only)",,,0.00,EA,,,Consumables,C,0%,B,"$60,494",94%,,Composites One LLC,"Simson Prep-G, 30ml",,,,,,,,,,,,,,,
Partall Film (Poly Vinyl Alcohol)  (Faciltiy Only),50555,,0.00,Gal,,,Consumables,C,0%,C,"$64,201",100%,,Composites One LLC,Rex GL Partall Film #10 Green,,,,,,,,,,,,,,,
Truck Bed Spray Paint,20066186364,A,0.25,EA,,,Consumables,A,5%,C,"$64,038",100%,,Home Depot,,,,,,,,,,,,,,,,
"6"" Roll 80 grit Adhesive Backed Sandpaper",99471,A,,EA,2.0,,Consumables,C,0%,,"$64,202",100%,,Lawson Products,"6"" Roll 80 grit Adhesive Backed Sandpaper",99471,EA,,,,,,,,,,,,,
"6"" Roll 240 grit Adhesive Backed Sandpaper",99468,A,,EA,2.0,,Consumables,C,0%,,"$64,202",100%,,Lawson Products,"6"" Roll 240 grit Adhesive Backed Sandpaper",99468,EA,,,,,,,,,,,,,
"6"" Roll 320 grit Adhesive Backed Sandpaper",99467,A,,EA,2.0,,Consumables,C,0%,,"$64,202",100%,,Lawson Products,"6"" Roll 320 grit Adhesive Backed Sandpaper",99467,EA,,,,,,,,,,,,,
600 grit Wet Sand Paper,85646A,A,,EA,2.0,,Consumables,C,0%,,"$64,202",100%,,Lawson Products,"9""x11"" 600 grit sand paper",85646A,EA,,,,,,,,,,,,,
Fuel,89 Octane,A,25.00,Gal,,,Consumables,B,3%,B,"$57,039",89%,,Love's,Fuel,,,1,,,,,,,,,,,,72.15
Simple Green Spay Bottles,18791,A,0.10,EA,,,Consumables,C,0%,C,"$64,180",100%,,Lowe's Home Improvement,Powerized Simple Green Cleaner,,,,,,,,,,,,,,,
Windex Spray Bottles,25167,A,0.10,EA,,,Consumables,C,0%,C,"$64,197",100%,,Lowe's Home Improvement,Powerized Blue Windex,,,,,,,,,,,,,,,
WD-40 Spray Can,92448,A,0.10,EA,,,Consumables,C,0%,C,"$64,187",100%,,Lowe's Home Improvement,12oz Smart Straw WD-40,,,,,,,,,,,,,,,
1Qt Mixing Buckets,40008,A,,EA,,,Facilities,C,0%,,"$64,202",100%,,Lowe's Home Improvement,1Qt Mix and Measure Container ,,,,,,,,,,,,,,,
1Qt Mixing Bucket Lid,169098,A,,EA,,,Facilities,C,0%,,"$64,202",100%,,Lowe's Home Improvement,1Qt Mix and Measure Lid,,,,,,,,,,,,,,,
2.5Qt Mixing Buckets,40009,A,,EA,,,Facilities,C,0%,,"$64,202",100%,,Lowe's Home Improvement,2.5Qt Mix and Measure Container,,,,,,,,,,,,,,,
2.5Qt Mixing Bucket Lid,169394,A,,EA,,,Facilities,C,0%,,"$64,202",100%,,Lowe's Home Improvement,2.5Qt Mix and Measure Lid,,,,,,,,,,,,,,,
Yellow Paint Pen,16625T272,A,0.20,EA,,,Consumables,C,0%,C,"$64,174",100%,,McMaster-Carr,"Paint Marker Bold Tip, Orange",16625T272,EA,1,,,,,,,,,,,,
Safety Glasses ,7541T1,A,,,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,,7541T1,,,,,,,,,,,,,,
"Work Glove, rubber face (8, 9, & 10's ratio 1-8, 5-9, 2-10 for ordering)",9832T664,A,,,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,,9832T664,,,,,,,,,,,,,,
Ear Plugs,54725T34,A,,EA,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,"Disposable Taper Flare Foam Earplug Corded Type, 33 DB NRR, Orange, packs of 100",54725T34,EA,,,,,,,,,,,,,
Hole Saw Bit,3994A46,A,,,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,,3994A46,,,,,,,,,,,,,,
Hole Saw Bit,3994A75,A,,,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,,3994A75,,,,,,,,,,,,,,
Hole Saw Bit,3994A77,A,,,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,,3994A77,,,,,,,,,,,,,,
Hole Saw Bit,3994A81,A,,,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,,3994A81,,,,,,,,,,,,,,
"Drill Bit, 3/4""",8772A19,A,,,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,,8772A19,,,,,,,,,,,,,,
Bandsaw Blade ,4179A542,A,,,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,,4179A542,,,,,,,,,,,,,,
"48""x6"" Sanding Belt, 60grit",4744A325,A,,,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,,4744A325,,,,,,,,,,,,,,
"48""x6"" Sanding Belt, 80grit",4744A225,A,,,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,,4744A225,,,,,,,,,,,,,,
"48""x6"" Sanding Belt, 120grit",4744A728,A,,,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,,4744A728,,,,,,,,,,,,,,
"9"" Sanding Disk, 60grit",4700A245,A,,,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,,4700A245,,,,,,,,,,,,,,
"9"" Sanding Disk, 60grit",4700A235,A,,,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,,4700A235,,,,,,,,,,,,,,
"9"" Sanding Disk, 60grit",4700A413,A,,,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,,4700A413,,,,,,,,,,,,,,
"Bolt, 5/16""-24 Hex Nut(E-brake short cable jam nuts, only need if supplier forgets to provide with cable)",94895A810,A,,EA,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,"Zinc & Yellow Plated Grade 8 Steel Hex Nut, 5/16""-24 Thread Size, 1/2"" Width, 17/64"" Height, Packs of 100",94895A810,EA,,,,,,,,,,,,,
"1.5"" Dia Flap Wheel, 60 grit",4734A654,A,,EA,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,"Aluminum Oxide Shank-Mount Flap Sanding Wheel, 1/4"" Shank, 1-1/2"" Diameter x 1"""" Width, 60grit",4734A654,EA,,,,,,,,,,,,,
"2"" Quick Change 50 grit 3M Roloc",46465A952,A,,PKG,,,Consumables,C,0%,,"$64,202",100%,,McMaster-Carr,"Quick-Change Aluminum Oxide Cloth Sanding Disc, 2"" Diameter, 50 Grit, 3M Roloc, Norton TR Fastener, Packs of 10",46465A952,PKG,,,,,,,,,,,,,
Hand Soap w/pumice/grit,,A,,,,,Consumables,C,0%,,"$64,202",100%,,"Napa, Mel's Auto",Hand Soap w/pumice/grit,,,,,,,,,,,,,,,
Blue Prematex Wipes(150per box),75190,A,15.00,"EA, wipe",,,Consumables,C,0%,C,"$64,112",100%,,"Napa, Mel's Auto","3255, Prematex, Bl, CRP, POP-N-WPE",,,,,,,,,,,,,,,
White Wipes  (Box  Count??),5790,A,10.00,EA,,,Consumables,C,0%,,"$64,202",100%,,"Napa, Mel's Auto",White Wipes  (Box  Count??),5790,,,,,,,,,,,,,,
"1/8"" Double End Drill Bit",140G-1/8,A,1.00,EA,,,Consumables,C,0%,C,"$64,016",100%,,SG Supply,"1/8"" Double End Drill Bit",330A108,,12,,,,,,,,,,,,
"3/16"" Double End Drill Bit",140G-3/16,A,1.00,EA,,,Consumables,C,0%,C,"$63,897",100%,,SG Supply,"3/16"" Double End Drill Bit",330A112,,12,,,,,,,,,,,,
"1/4"" Double End Drill Bit",140G-1/4,A,1.00,EA,,,Consumables,C,0%,C,"$63,714",99%,,SG Supply,"1/4"" Double End Drill Bit",330A116,,12,,,,,,,,,,,,
"17/32"" Drill Bit  (Nutsert holes in door)",130AG-17/32,A,0.25,EA,,,Consumables,C,0%,,"$64,202",100%,,SG Supply,"17/32"" Drill Bit  (Nutsert holes in door)",1000 E134,,1,Terminal Supply ,"17/32"" Drill Bit  (Nutsert holes in door)",x130AG-17/32 ,1,,,,,,,,
Turbo-Loc Blue Loctite Equiv  10ML Bottle,11-010,A,0.25,EA,2.0,,Consumables,,,,,,,SG Supply,Turbo-Loc Blue Loctite Equiv  10ML Bottle,11-010,EA,12,,,,,,,,,,,,
Turbo-Loc Red Loctite Equiv  10ML Bottle,12-010 ,A,0.25,EA,2.0,,Consumables,,,,,,,SG Supply,Turbo-Loc Red Loctite Equiv  10ML Bottle,12-010 ,EA,12,,,,,,,,,,,,
